Rank,Market,State,Counties  (or county-equivalents)  covered,TV households (2019–20),Local ABC affiliate,Local CBS affiliate,Local NBC affiliate,Local Fox affiliate,Local CW affiliate,Local MyNetworkTV affiliate,Local PBS member station,Local Ion Television affiliate,Local Telemundo affiliate,Local Univision affiliate,Local Independent stations,Other significant television stations
28,Nashville,Tennessee,"Tennessee:Bedford, Benton, Cannon, Cheatham, Clay, Coffee, Davidson, Decatur, DeKalb, Dickson, Franklin, Giles, Henry, Hickman, Houston, Humphreys, Jackson, Lawrence, Lewis, Macon, Marshall, Maury, Montgomery, Moore, Overton, Perry, Pickett, Putnam, Robertson, Rutherford, Smith, Stewart, Sumner, Trousdale, Van Buren, Warren, White, Williamson, Wilson
Kentucky:Allen, Christian, Clinton, Logan, Monroe, Simpson, Todd, Trigg","983,180 (0.919%)",WKRN-TV 2,WTVF 5,WSMV-TV 4,WZTV 17,WNAB 58,WUXP-TV 30,WNPT 8WCTE 22,WNPX-TV 28,,WLLC-LP 42,,WPGD 50 (TBN)WJNK-LD 34 (3ABN)
29,San Diego,California,San Diego,"981,650 (0.917%)",KGTV 10,KFMB-TV 8,KNSD 39,KSWB-TV 69,"KFMB-DT2 8.2
(The CW primary affiliate)",KFMB-DT2 8.2 (MyNetworkTV secondary affiliate),KPBS 15,,KUAN-LD 48,KBNT-CD 17,KUSI-TV 51,KDTF-LD 36 (UniMás)XHJK-TDT 1 (A1)XHCTTI-TDT 3 (Imagen)XETV-TDT 6 (Canal 5)XHTJB-TDT 11 (Canal Once)XEWT-TDT 12 (Televisa)XETV-TDT 16 (Nu9ve)XHTIT-TDT 21 (A7)KSDX-LD 29 (Estrella TV)XHAS-TDT 33 (Azteca)XHBJ-TDT 45 (Multimedios)XHDTV-TDT 49 (Milenio)KSDY-LD 50 (Nuestra Vision)XHUAA-TDT 57 (Las Estrellas)
30,Salt Lake City,Utah,"Utah:Beaver, Box Elder, Cache, Carbon, Daggett, Davis, Duchesne, Emery, Garfield, Grand, Iron, Juab, Kane, Millard, Morgan, Piute, Rich, Salt Lake, San Juan, Sanpete, Sevier, Summit, Tooele, Uintah, Utah, Wasatch, Washington, Wayne, Weber
Idaho:Bear Lake, Franklin, Oneida
Wyoming:Sublette, Sweetwater, Uinta
Nevada:Elko, Eureka, White Pine","952,470 (0.89%)",KTVX 4,KUTV 2,KSL-TV 5,KSTU 13,KUCW 30,KMYU 12,KUED 7,KUPX-TV 16,KTMW 20KULX-CD 10,KUTH-DT 32,KJZZ-TV 14,KPNZ 24 (Estrella TV)KSVN-CD 25 (Azteca)KUCL-LD 26 (3ABN)
31,San Antonio,Texas,"Atascosa, Bandera, Bexar, Comal, DeWitt, Dimmit, Edwards, Frio, Gillespie, Goliad, Gonzales, Guadalupe, Karnes, Kendall, Kerr, Kinney, La Salle, Lavaca, Maverick, McMullen, Medina, Real, Uvalde, Val Verde, Wilson, Zavala","916,970 (0.857%)",KSAT-TV 12,KENS 5,WOAI-TV 4,KABB 29,KMYS 35,KCWX 2,KLRN 9,KPXL-TV 26,KVDA 60,KWEX-DT 41,,KNIC-DT 17 (UniMás)KHCE-TV 23 (TBN)K25OB-D 14 (3ABN)
32,Kansas City,Missouri,"Missouri:Bates, Caldwell, Carroll, Cass, Clay, Clinton, Daviess, Gentry, Grundy, Harrison, Henry, Jackson, Johnson, Lafayette, Linn, Livingston, Pettis, Platte, Ray, Saline
Kansas:Anderson, Atchison, Douglas, Franklin, Johnson, Leavenworth, Linn, Miami, Wyandotte","896,850 (0.838%)",KMBC-TV 9,KCTV 5,KSHB-TV 41,WDAF-TV 4,KCWE 29,KSMO-TV 62,KCPT 19,KPXE-TV 50,KGKC-LD 39,KUKC-LD 20,KMCI-TV 38,
33,Hartford & New Haven,Connecticut,"Hartford, Litchfield, Middlesex, New Haven, New London, Tolland, Windham","885,890 (0.828%)",WTNH 8,WFSB 3,WVIT 30,WTIC-TV 61,WCCT-TV 20,WCTX 59,WEDH 24,WHPX-TV 26,WRDM-CD 19,WUVN 18,,
34,"Columbus, OH",Ohio,"Coshocton, Crawford, Delaware, Fairfield, Fayette, Franklin, Hardin, Hocking, Knox, Licking, Madison, Marion, Morgan, Morrow, Perry, Pickaway, Pike, Ross, Union","877,490 (0.82%)",WSYX 6,WBNS-TV 10,WCMH-TV 4,WTTE 28,WWHO 53,WSYX 6.2,WOSU-TV 34,WCMH-TV 4.3,,,WDEM-CD 17,WSFJ-TV 51 (Ion Plus)
35,Milwaukee,Wisconsin,"Dodge, Jefferson, Kenosha, Milwaukee, Ozaukee, Racine, Sheboygan, Walworth, Washington, Waukesha","837,300 (0.782%)",WISN-TV 12,WDJT-TV 58,WTMJ-TV 4,WITI 6,WVTV 18,WVTV-DT2 24,WMVS 10/WMVT 36,WPXE-TV 55,WYTU-LD 63,,WMLW-TV 49,WBME-CD 41 (MeTV)WWRS-TV 52 (TBN)
36,West Palm Beach-Fort Pierce,Florida,"Indian River, Martin, Okeechobee, Palm Beach, St. Lucie","828,980 (0.775%)",WPBF 25,WPEC 12,WPTV-TV 5,WFLX 29,WTVX 34,WTCN-CD 43,WXEL-TV 42,WPXP-TV 67,,,,WHDT 9 (Court TV)WTCE-TV 21 (TBN)WXOD-LD 33 (Buzzr)WWHB-CD 48 (Azteca)
37,Cincinnati,Ohio,"Ohio:Adams, Brown, Butler, Clermont, Clinton, Hamilton, Highland, Warren
Kentucky:Boone, Bracken, Campbell, Gallatin, Grant, Kenton, Mason, Owen, Pendleton, Robertson
Indiana:Dearborn, Franklin, Ohio, Ripley, Switzerland, Union","828,250 (0.774%)",WCPO-TV 9,WKRC-TV 12,WLWT 5,WXIX-TV 19,WKRC-DT2 12.2,WSTR-TV 64,WCET 48WPTO 14WCVN-TV 54,WXIX-DT 19.5,,,,WBQC-LD 25 (Cozi TV)
